,Candidat,Date,Nb de likes
0,melenchon_2022,2021-12-29 14:17:00+00:00,78
1,melenchon_2022,2021-12-29 13:36:25+00:00,238
2,melenchon_2022,2021-12-28 17:19:00+00:00,468
3,melenchon_2022,2021-12-28 09:42:00+00:00,35
4,melenchon_2022,2021-12-27 15:20:00+00:00,189
5,melenchon_2022,2021-12-27 10:36:00+00:00,334
6,melenchon_2022,2021-12-26 17:27:45+00:00,707
7,melenchon_2022,2021-12-26 09:15:00+00:00,227
8,melenchon_2022,2021-12-25 17:00:00+00:00,109
9,melenchon_2022,2021-12-25 14:14:09+00:00,182
10,melenchon_2022,2021-12-25 12:04:00+00:00,421
11,melenchon_2022,2021-12-24 15:21:45+00:00,7
12,melenchon_2022,2021-12-24 15:00:03+00:00,526
13,melenchon_2022,2021-12-23 16:20:55+00:00,177
14,melenchon_2022,2021-12-23 13:55:00+00:00,189
15,melenchon_2022,2021-12-23 12:31:10+00:00,520
16,melenchon_2022,2021-12-22 08:45:00+00:00,433
17,melenchon_2022,2021-12-21 17:09:05+00:00,385
18,melenchon_2022,2021-12-21 13:20:00+00:00,349
19,melenchon_2022,2021-12-21 08:00:02+00:00,23
20,melenchon_2022,2021-12-20 17:06:25+00:00,95
21,melenchon_2022,2021-12-20 17:05:38+00:00,265
22,melenchon_2022,2021-12-20 17:00:00+00:00,62
23,melenchon_2022,2021-12-20 16:00:02+00:00,74
24,melenchon_2022,2021-12-20 14:36:56+00:00,88
25,melenchon_2022,2021-12-19 13:22:00+00:00,43
26,melenchon_2022,2021-12-19 09:04:00+00:00,72
27,melenchon_2022,2021-12-18 21:19:45+00:00,150
28,melenchon_2022,2021-12-18 20:17:30+00:00,344
29,melenchon_2022,2021-12-18 19:52:57+00:00,378
30,melenchon_2022,2021-12-18 13:12:00+00:00,119
31,melenchon_2022,2021-12-18 11:51:29+00:00,177
32,melenchon_2022,2021-12-18 10:18:31+00:00,70
33,melenchon_2022,2021-12-18 07:35:00+00:00,87
34,melenchon_2022,2021-12-17 16:17:00+00:00,42
35,melenchon_2022,2021-12-17 14:45:11+00:00,42
36,melenchon_2022,2021-12-17 14:45:10+00:00,43
37,melenchon_2022,2021-12-17 14:45:09+00:00,29
38,melenchon_2022,2021-12-17 14:45:07+00:00,302
39,melenchon_2022,2021-12-17 14:00:00+00:00,88
40,melenchon_2022,2021-12-17 12:20:00+00:00,18
41,melenchon_2022,2021-12-17 10:54:00+00:00,49
42,melenchon_2022,2021-12-17 10:48:00+00:00,71
43,melenchon_2022,2021-12-17 07:10:00+00:00,29
44,melenchon_2022,2021-12-16 18:20:00+00:00,47
